repetition,hold[J],keydown[O] - keydown[J],keydown[O] - keyup[J],hold[O],keydown[H] - keydown[O],keydown[H] - keyup[O],hold[H],keydown[N] - keydown[H],keydown[N] - keyup[H],hold[N],keydown[D] - keydown[N],keydown[D] - keyup[N],hold[D],keydown[O] - keydown[D],keydown[O] - keyup[D],hold[O],keydown[E] - keydown[O],keydown[E] - keyup[O],hold[E],keydown[1] - keydown[E],keydown[1] - keyup[E],hold[1],keydown[2] - keydown[1],keydown[2] - keyup[1],hold[2],keydown[3] - keydown[2],keydown[3] - keyup[2],hold[3]
0,0.125,0.088,-0.037,0.169,0.126,-0.043,0.084,0.223,0.139,0.066,0.128,0.062,0.084,0.085,0.001,0.099,0.137,0.038,0.11,0.343,0.233,0.183,0.098,-0.085,0.229,0.168,-0.061,0.161
1,0.101,0.062,-0.039,0.186,0.146,-0.04,0.101,0.222,0.121,0.089,0.172,0.083,0.089,0.106,0.017,0.085,0.165,0.08,0.106,0.368,0.262,0.187,0.094,-0.093,0.185,0.095,-0.09,0.171
2,0.105,0.08,-0.025,0.17,0.122,-0.048,0.093,0.174,0.081,0.106,0.128,0.022,0.114,0.115,0.001,0.103,0.224,0.121,0.086,0.324,0.238,0.185,0.118,-0.067,0.176,0.087,-0.089,0.169
3,0.093,0.094,0.001,0.143,0.224,0.081,0.086,0.245,0.159,0.081,0.385,0.304,0.095,0.066,-0.029,0.09,0.17,0.08,0.098,0.315,0.217,0.185,0.121,-0.064,0.187,0.101,-0.086,0.167
4,0.159,0.103,-0.056,0.177,0.162,-0.015,0.111,0.233,0.122,0.105,0.192,0.087,0.101,0.079,-0.022,0.108,0.189,0.081,0.106,0.364,0.258,0.191,0.078,-0.113,0.211,0.149,-0.062,0.147
5,0.112,0.082,-0.03,0.148,0.122,-0.026,0.07,0.195,0.125,0.084,0.122,0.038,0.088,0.089,0.001,0.102,0.244,0.142,0.088,0.386,0.298,0.262,0.14,-0.122,0.226,0.141,-0.085,0.164
6,0.117,0.106,-0.011,0.122,0.074,-0.048,0.097,0.212,0.115,0.086,0.126,0.04,0.096,0.087,-0.009,0.088,0.147,0.059,0.112,0.32,0.208,0.183,0.113,-0.07,0.198,0.116,-0.082,0.148
7,0.103,0.076,-0.027,0.139,0.115,-0.024,0.097,0.234,0.137,0.087,0.148,0.061,0.1,0.09,-0.01,0.088,0.186,0.098,0.108,0.43,0.322,0.166,0.119,-0.047,0.176,0.087,-0.089,0.165
8,0.13,0.087,-0.043,0.151,0.128,-0.023,0.103,0.222,0.119,0.087,0.351,0.264,0.107,0.107,0,0.087,0.186,0.099,0.102,0.338,0.236,0.185,0.101,-0.084,0.194,0.102,-0.092,0.172
9,0.121,0.09,-0.031,0.202,0.179,-0.023,0.083,0.282,0.199,0.072,0.137,0.065,0.089,0.063,-0.026,0.108,0.223,0.115,0.106,0.352,0.246,0.188,0.086,-0.102,0.191,0.124,-0.067,0.147
10,0.131,0.106,-0.025,0.146,0.203,0.057,0.071,0.203,0.132,0.084,0.142,0.058,0.071,0.071,0,0.093,0.23,0.137,0.093,0.4,0.307,0.232,0.12,-0.112,0.22,0.132,-0.088,0.15
11,0.128,0.129,0.001,0.13,0.099,-0.031,0.083,0.203,0.12,0.095,0.254,0.159,0.09,0.109,0.019,0.085,0.314,0.229,0.078,0.375,0.297,0.191,0.109,-0.082,0.174,0.103,-0.071,0.157
12,0.118,0.086,-0.032,0.099,0.222,0.123,0.073,0.239,0.166,0.098,0.219,0.121,0.091,0.065,-0.026,0.095,0.174,0.079,0.105,0.324,0.219,0.22,0.13,-0.09,0.205,0.137,-0.068,0.165
13,0.132,0.083,-0.049,0.103,0.489,0.386,0.064,0.169,0.105,0.098,0.238,0.14,0.087,0.088,0.001,0.082,0.323,0.241,0.093,0.332,0.239,0.228,0.124,-0.104,0.221,0.125,-0.096,0.119
14,0.11,0.073,-0.037,0.142,0.201,0.059,0.062,0.191,0.129,0.096,0.214,0.118,0.088,0.089,0.001,0.068,0.295,0.227,0.104,0.386,0.282,0.196,0.094,-0.102,0.192,0.124,-0.068,0.144
15,0.134,0.095,-0.039,0.127,0.283,0.156,0.083,0.184,0.101,0.104,0.362,0.258,0.106,0.083,-0.023,0.11,0.395,0.285,0.103,0.914,0.811,0.194,0.084,-0.11,0.256,0.171,-0.085,0.173
